gene	direction	loo_fraction
RICTOR	down	0.6
HIST2H3D	down	0.6
CEP170	down	0.8
MTHFD1L	down	0.6
DAB2	down	0.6
SSC5D	down	0.8
FST	down	0.8
FBXO32	down	0.6
IFI30	down	0.8
RGPD5	down	0.6
MSRB3	down	0.6
MTHFD2	down	0.6
PTGIS	down	0.8
WDFY3	down	0.6
JARID2	down	0.6
SALL2	down	0.6
IGFBP3	down	0.8
CDCP1	down	0.6
LYPD6B	down	0.8
GALNT3	down	0.8
8-Sep	down	0.4
PRSS12	down	0.6
SNX29	down	0.6
MAP3K2	down	0.6
RARG	down	0.6
FOPNL	down	0.6
HERC1	down	0.6
CACNA2D3	down	0.8
SEMA3C	down	0.6
RP3-323P13.2	down	0.6
C9orf172	down	0.6
PTGFR	down	0.8
HPCAL1	down	0.8
SLIT2	down	0.8
PRKCA	down	0.6
ANLN	down	0.6
PYROXD1	down	0.6
BDKRB2	down	0.6
ADAM19	down	0.6
NTM	down	0.6
NYNRIN	down	0.6
UHMK1	down	0.8
CENPE	down	0.6
PHF20	down	0.6
FRYL	down	0.8
SMCHD1	down	0.6
SLC3A2	down	0.6
CEP350	down	0.8
HSPA12A	down	0.8
FAM155A	down	0.6
PLA2R1	down	0.6
TNKS	down	0.6
RGS7	down	0.6
STIM2	down	0.6
RAB32	down	0.6
PTPN11	down	0.6
KYNU	down	0.8
IFI27	down	0.8
SFRP1	down	0.6
SESN2	down	0.6
TTC37	down	0.6
MAP7	down	0.6
MTPN	down	0.6
GFRA1	down	0.8
DDR2	down	0.6
PLAUR	down	0.6
DPYD	down	0.8
OSBP2	down	0.8
MYO1D	down	0.8
MMP3	down	0.8
HAS2	down	0.8
MCTP2	down	0.6
SVIL	down	0.6
RPLP2	down	0.6
GPT2	down	0.6
TXNIP	down	0.6
KMT2A	down	0.6
YARS	down	0.6
HIP1	down	0.8
HEPH	down	0.8
AMIGO2	down	0.8
KIF20A	down	0.8
DNAJB14	down	0.8
ASAP3	down	0.6
CTNS	down	0.6
TMOD3	down	0.6
RASA1	down	0.8
PBX1	down	0.8
RPS6KA6	down	0.6
FAM8A1	down	0.6
GRIN2A	down	0.6
C21orf91	down	0.6
ITIH5	down	0.8
SBF2	down	0.6
MARVELD3	down	0.8
SPON2	down	0.8
SERTAD2	down	0.8
ANKRD50	down	0.8
11-Sep	down	0.4
EPHB2	down	0.8
DENND2A	down	0.6
NDN	down	0.6
IL6ST	down	0.8
HIST1H4C	down	0.4
UBR3	down	0.6
SYNPO	down	0.8
ACTR2	down	0.6
LFNG	down	0.6
HBEGF	down	0.6
EP300	down	0.6
ADA	down	0.6
FBXL17	down	0.6
EPAS1	down	0.6
DCK	down	0.6
MSTN	down	0.6
AKR1C3	down	0.6
TP53	down	0.6
RP11-1E6.1	down	0.4
BIRC3	down	0.6
WARS	down	0.6
PARP14	down	0.8
IFT80	down	0.6
RPSA	down	0.6
TRPC4	down	0.6
ZHX1	down	0.6
ERMN	down	0.6
TFRC	down	0.6
GOT1	down	0.6
GBP5	down	0.6
FCHO2	down	0.6
NQO1	down	0.8
MEF2C	down	0.6
DAAM2	down	0.8
DDIT3	down	0.8
AHRR	down	0.8
ANKRD13A	down	0.6
GDF5	down	0.6
CBLB	down	0.6
OSBPL3	down	0.6
MDFIC	down	0.6
PLEKHG4	down	0.8
ANKRD12	down	0.8
C10orf12	down	0.8
COL27A1	down	0.8
NPC1	down	0.8
SAPCD2	down	0.8
UACA	down	0.8
PTPN13	down	0.8
RAB27B	down	0.6
PLXNC1	down	0.8
CRIM1	down	0.8
PENK	down	0.6
HR	down	0.6
RBM41	down	0.8
DLL1	down	0.8
TM4SF1	down	0.8
ESM1	down	0.6
CLIC4	down	0.6
ULBP3	down	0.6
FAM180A	down	0.6
PAN3	down	0.6
KIF18B	down	0.6
AP2S1	down	0.6
ZYG11B	down	0.6
FBXL3	down	0.6
HNRNPU-AS1	down	0.4
ANPEP	down	0.8
ITSN2	down	0.6
SYNRG	down	0.8
CDCA7	down	0.6
AFF4	down	0.6
PHTF2	down	0.6
ZNF518A	down	0.6
NCOA2	down	0.8
TARS	down	0.6
TRAM2	down	0.8
CEPT1	down	0.8
PRELP	down	0.8
POSTN	down	0.8
MICU3	down	0.6
ATOH8	down	0.6
MKL2	down	0.6
VCAM1	down	0.6
TTK	down	0.6
PLEKHF1	down	0.6
SDSL	down	0.6
NFKBIZ	down	0.6
PSAT1	down	0.6
MTX3	down	0.6
TMF1	down	0.6
SEMA3E	down	0.6
SPIN1	down	0.6
EFS	down	0.6
AHCTF1	down	0.8
COL6A1	down	0.8
CDH6	down	0.8
CHD6	down	0.6
CKAP2	down	0.6
ROCK1	down	0.6
ETHE1	down	0.6
CENPF	down	0.8
C16orf45	down	0.6
MEGF9	down	0.6
COL1A1	down	0.6
PPIP5K2	down	0.6
AVL9	down	0.6
TMEM26	down	0.6
STAC	down	0.6
PAICS	down	0.6
FBN1	down	0.8
LTBP1	down	0.8
AJUBA	down	0.6
BBS10	down	0.6
PCDH10	down	0.6
TJP1	down	0.6
PIKFYVE	down	0.8
LTBP4	down	0.8
SOCS2	down	0.8
SHROOM3	down	0.6
GIT2	down	0.6
IRAK4	down	0.6
CEP192	down	0.6
CDC27	down	0.6
PGRMC1	down	0.6
TPP1	down	0.6
MRAS	down	0.6
RBL1	down	0.6
PKD1P1	down	0.8
SLC24A3	down	0.8
KRTAP1-1	down	0.8
ATP2B4	down	0.8
CDCA7L	down	0.6
MBTPS2	down	0.6
IQSEC1	down	0.6
STAG1	down	0.6
NDUFA5	down	0.6
PAPPA	down	0.6
GNB4	down	0.6
LARP6	down	0.6
MEGF6	down	0.8
TMEM106B	down	0.8
FANCI	down	0.6
MTSS1L	down	0.8
ATAD2	down	0.6
ROBO3	down	0.6
SFRP4	down	0.6
HDAC5	down	0.6
CYGB	down	0.6
MET	down	0.6
HOOK3	down	0.6
SNX19	down	0.6
TMEM131	down	0.6
TNFRSF10D	down	0.6
ERI2	down	0.6
CAPN7	down	0.6
TWF1P1	down	0.4
IKZF5	down	0.8
EFNB2	down	0.8
PTTG1	down	0.8
ARHGAP21	down	0.6
C5orf24	down	0.6
RDX	down	0.6
SLC30A1	down	0.6
DISC1	down	0.6
NAB1	down	0.6
KIF23	down	0.6
WWC2	down	0.6
SLC4A4	down	0.8
CEP135	down	0.8
TMEM119	down	0.8
ENAH	down	0.8
ITGA4	down	0.6
LRP3	down	0.6
FHL2	down	0.6
HSPA9	down	0.6
PAG1	down	0.6
RPSAP58	down	0.6
P2RX7	down	0.6
STK17A	down	0.6
RP11-173B14.5	down	0.8
PLXNB3	down	0.6
MARS	down	0.6
MYO10	down	0.6
ATRX	down	0.6
LOXL1	down	0.6
ODC1	down	0.6
SATB1	down	0.6
DYNC1LI2	down	0.6
MICA	down	0.6
MIR146A	down	0.8
NAP1L3	down	0.6
ETAA1	down	0.6
SAMD5	down	0.8
CHAC1	down	0.6
FLG	down	0.8
DPYSL4	down	0.6
EIF2S2	down	0.6
PRR7	down	0.6
FZD2	down	0.6
KIAA1430	down	0.8
NPIPB5	down	0.6
HSPG2	down	0.8
OSBPL8	down	0.8
PTCHD4	down	0.8
ADRA2A	down	0.8
ZNF621	down	0.6
MAST4	down	0.6
OSBPL9	down	0.6
TMEM71	down	0.6
BRI3	down	0.6
CTD-2228K2.7	down	0.4
SYTL2	down	0.8
TP53I11	down	0.8
TK1	down	0.6
PDE5A	down	0.6
TMEM155	down	0.6
DDX21	down	0.6
ANKIB1	down	0.6
FTO	down	0.8
PTPN21	down	0.6
CKAP2L	down	0.6
PBRM1	down	0.6
HGF	down	0.6
GSK3B	down	0.6
PSG1	down	0.6
GDNF	down	0.6
ARSI	down	0.6
GINS2	down	0.6
STAG2	down	0.6
SLITRK6	down	0.6
TMEM123	down	0.6
PTPRS	down	0.6
CACHD1	down	0.8
FAM126A	down	0.6
LINC01085	down	0.8
TSPAN9	down	0.8
CALB2	down	0.8
EMP1	down	0.6
CYP1B1	down	0.6
CYBRD1	down	0.6
SH3PXD2A	down	0.6
AKR7A2	down	0.6
DIAPH2	down	0.6
EXOC5	down	0.6
EBNA1BP2	down	0.6
RBPJ	down	0.8
DNASE1L1	down	0.8
GALNT16	down	0.6
CEBPG	down	0.6
LRRC37A4P	down	0.6
LY96	down	0.6
SCAF8	down	0.6
G2E3	down	0.6
ADAMTS6	down	0.6
VGLL3	down	0.6
HLA-DPB1	down	0.6
MYPN	down	0.6
EHBP1	down	0.6
GANAB	down	0.6
ASMTL	down	0.6
SF3B3	down	0.6
KITLG	down	0.6
CYLD	down	0.6
PITPNC1	down	0.6
LPHN2	down	0.8
KCNS3	down	0.6
HDAC2	down	0.6
AMOT	down	0.6
XRN1	down	0.6
DCLK2	down	0.6
DMXL1	down	0.6
NLGN1	down	0.6
AHNAK2	down	0.6
DMKN	down	0.6
STARD5	down	0.6
KIRREL3	down	0.6
NOL8	down	0.6
SEMA3F	down	0.8
DOK5	down	0.8
CDC42EP2	down	0.8
COPS6	down	0.6
NF1	down	0.6
NBEA	down	0.6
FOXP1	down	0.6
ZKSCAN8	down	0.8
COL6A2	down	0.8
BDNF-AS	down	0.8
KIFC1	down	0.6
C10orf118	down	0.6
NEDD4L	down	0.6
HIPK3	down	0.8
MYH9	down	0.6
NBL1	down	0.8
LINC00856	down	0.8
FOXF2	down	0.8
LTN1	down	0.6
SMARCA1	down	0.6
SUN1	down	0.8
SLC16A6	down	0.6
SMN2	down	0.6
PHF6	down	0.6
C14orf37	down	0.6
CD44	down	0.6
TNFAIP2	down	0.6
NAPEPLD	down	0.8
EGR1	down	0.8
ZSCAN31	down	0.8
PDCD1LG2	down	0.6
CAPG	down	0.6
CACNA1C	down	0.6
SMS	down	0.6
SLC12A6	down	0.6
OSTM1	down	0.6
PRKDC	down	0.6
ARHGAP17	down	0.6
MAN2A1	down	0.6
IKZF2	down	0.8
LTBP2	down	0.8
SERPINE2	down	0.6
LGR4	down	0.6
NUAK2	down	0.6
TEC	down	0.6
BDP1	down	0.6
SYT1	down	0.6
FAM86FP	down	0.6
ATM	down	0.8
CRYAB	down	0.8
NOV	down	0.8
MICAL3	down	0.6
EYA4	down	0.6
TM4SF4	down	0.6
TAOK1	down	0.6
RSL24D1	down	0.6
CCDC117	down	0.6
ELOVL2	down	0.6
WDFY3-AS2	down	0.8
FAM64A	down	0.8
TMEM170B	down	0.6
ORC1	down	0.6
TCEA1	down	0.6
PCMTD1	down	0.8
EHF	down	0.8
KIAA1551	down	0.8
NMT2	down	0.8
ECT2	down	0.6
DENND4C	down	0.6
BAZ2B	down	0.6
STAM2	down	0.8
MCF2L	down	0.8
ARFGEF1	down	0.6
AFAP1	down	0.6
AKAP11	down	0.6
IRAK2	down	0.6
BUB1B	down	0.6
UCK2	down	0.6
NEU1	down	0.8
PLK1	down	0.8
STK17B	down	0.6
POP1	down	0.6
MED13L	down	0.8
SULF2	down	0.8
DMC1	down	0.6
WNT5B	down	0.6
ZC2HC1A	down	0.8
KREMEN1	down	0.8
HMGA1	down	0.8
NXPH4	down	0.6
ACPP	down	0.8
RP5-894A10.6	down	0.4
SLC47A1	down	0.8
GALM	down	0.8
PRICKLE1	down	0.6
CDC25B	down	0.6
ACOT12	down	0.6
CXCL1	down	0.8
EVC	down	0.8
NTSR1	down	0.8
ATP2A3	down	0.8
LBH	down	0.8
ASPM	down	0.8
SH2B3	down	0.6
PCK2	down	0.6
GCNT4	down	0.6
VSTM4	down	0.8
CLMP	down	0.8
AARS	down	0.6
ANP32E	down	0.8
TMEM171	down	0.8
IER3	down	0.8
CARD16	down	0.6
ITPR3	down	0.8
TMEM158	down	0.8
CLSTN2	down	0.8
AFAP1-AS1	down	0.8
SKA1	down	0.6
WDR18	down	0.6
TGM2	down	0.6
