gene	direction	loo_fraction	rra_score	padj	coverage	n_topfrac
SCN9A	down	1	0.000436741707387688	0.000436741707387688	5	3
PSPH	down	1	0.000446399965109249	0.000446399965109249	5	3
TXNRD1	down	0.8	0.0004616422294154	0.0004616422294154	5	2
AK5	down	1	0.000462144338682662	0.000462144338682662	5	3
NRP1	down	1	0.000472168043472948	0.000472168043472948	5	3
ARL4C	down	0.8	0.000480423590277171	0.000480423590277171	5	2
KCND3	down	0.8	0.000519102407226928	0.000519102407226928	5	2
PER3	down	1	0.00053533161239751	0.00053533161239751	4	3
SYT11	down	1	0.000541937624458276	0.000541937624458276	5	3
RND3	down	1	0.000544151504392819	0.000544151504392819	5	3
PRKG2	down	1	0.000580388035014158	0.000580388035014158	5	3
TGFBI	down	0.8	0.000590368249642458	0.000590368249642458	5	2
PDGFC	down	1	0.000618179009975247	0.000618179009975247	5	3
CPA4	down	0.8	0.000622303532220336	0.000622303532220336	5	2
KCTD16	down	1	0.000625440388489005	0.000625440388489005	5	3
HMCN1	down	0.8	0.00065507380629692	0.00065507380629692	5	2
ID2	down	1	0.000685562432143085	0.000685562432143085	5	3
LIMA1	down	1	0.000685562432143085	0.000685562432143085	5	3
GULP1	down	1	0.000688146753022006	0.000688146753022006	5	3
HIVEP1	down	1	0.000690737477933134	0.000690737477933134	5	3
RAPH1	down	1	0.000690737477933134	0.000690737477933134	5	3
LYPD6	down	1	0.000695938169889254	0.000695938169889254	5	3
SLC22A15	down	1	0.000722328423368684	0.000722328423368684	5	3
JUN	down	1	0.000743908376601532	0.000743908376601532	5	3
ADCY9	down	1	0.000765908259744446	0.000765908259744446	5	3
IGFBP2	down	0.8	0.000769609652524701	0.000769609652524701	5	1
LINC00968	down	0.8	0.000769609652524701	0.000769609652524701	4	2
SERF1B	down	0.8	0.000769609652524701	0.000769609652524701	5	1
SEMA3A	down	1	0.000791164838928684	0.000791164838928684	5	3
NHSL2	down	1	0.000805430014977837	0.000805430014977837	5	3
PRRX1	down	1	0.000894584508242386	0.000894584508242386	5	3
SMC4	down	1	0.000903840592469007	0.000903840592469007	5	3
KRTAP1-5	down	1	0.000947239604964428	0.000947239604964428	5	3
SCN8A	down	1	0.000951066005911697	0.000951066005911697	5	3
SOCS5	down	1	0.000970400887825178	0.000970400887825178	5	3
NUDT6	down	0.8	0.00101480787320969	0.00101480787320969	5	2
TM4SF20	down	0.8	0.00102859826600961	0.00102859826600961	5	2
NDNF	down	0.8	0.00105645565259328	0.00105645565259328	5	2
SH3BP4	down	1	0.00106749751710441	0.00106749751710441	5	3
TNFSF15	down	0.8	0.00107052261184252	0.00107052261184252	5	2
STEAP2	down	1	0.00107095472332032	0.00107095472332032	5	3
MBNL1	down	0.8	0.00112771181906103	0.00112771181906103	5	2
TNXB	down	1	0.00114888461011619	0.00114888461011619	5	3
CHL1	down	0.8	0.0011715706799267	0.0011715706799267	5	2
NCEH1	down	1	0.00123044740429255	0.00123044740429255	5	3
SHMT2	down	1	0.00131176284018987	0.00131176284018987	5	3
VEGFA	down	1	0.00131968592441449	0.00131968592441449	5	3
HMGN2	down	0.8	0.00133946953913894	0.00133946953913894	5	2
NABP1	down	1	0.00136788435583239	0.00136788435583239	5	3
DCBLD2	down	1	0.00139652590189516	0.00139652590189516	5	3
ROCK2	down	0.8	0.00140328019035039	0.00140328019035039	5	2
TEAD1	down	1	0.00142973738195966	0.00142973738195966	5	3
ALDH3A1	down	0.8	0.00153912453428914	0.00153912453428914	5	1
SMAD9	down	0.8	0.00153912453428914	0.00153912453428914	5	1
SLC39A10	down	1	0.00155888544107278	0.00155888544107278	5	3
FYCO1	down	0.8	0.00158632759197673	0.00158632759197673	5	2
SEL1L3	down	0.8	0.00160351812183491	0.00160351812183491	5	2
SPOCK1	down	0.8	0.00162080021992847	0.00162080021992847	5	2
JRK	down	1	0.00162168101606649	0.00162168101606649	5	3
NCAPG	down	1	0.001690776577813	0.001690776577813	4	3
PSG5	down	1	0.00170482299396313	0.00170482299396313	5	3
NAV3	down	0.8	0.00172641477786059	0.00172641477786059	5	2
EBF3	down	0.8	0.00174433737184945	0.00174433737184945	5	2
HEG1	down	1	0.00191462320331563	0.00191462320331563	5	3
ADAM12	down	0.8	0.00192858915856968	0.00192858915856968	5	2
N4BP3	down	0.8	0.00192858915856968	0.00192858915856968	5	2
ADD3	down	1	0.00194006044179563	0.00194006044179563	5	3
TOP2A	down	0.8	0.0019475165437758	0.0019475165437758	5	2
SLC35E2B	down	1	0.00198121831592129	0.00198121831592129	5	3
EPS15	down	0.8	0.00206299632628594	0.00206299632628594	5	2
SMAD3	down	0.8	0.00206299632628594	0.00206299632628594	5	2
ATP13A3	down	1	0.00208660227501868	0.00208660227501868	5	3
E2F7	down	1	0.00209196552943591	0.00209196552943591	5	3
CPXM2	down	0.8	0.00230854465404623	0.00230854465404623	5	1
KIT	down	0.8	0.00230854465404623	0.00230854465404623	5	2
LRRC37A17P	down	0.8	0.00230854465404623	0.00230854465404623	4	1
PNPLA3	down	0.8	0.00236604198743465	0.00236604198743465	5	2
CADM1	down	0.8	0.00245031003690444	0.00245031003690444	4	2
TENM2	down	0.8	0.002536031087558	0.002536031087558	5	2
EPGN	down	0.8	0.00266733464187146	0.00266733464187146	5	2
ITGA8	down	0.8	0.00277924706226809	0.00277924706226809	5	2
FER1L6	down	0.8	0.00305706947753633	0.00305706947753633	5	2
GOLGA8B	down	0.8	0.00307787002054834	0.00307787002054834	5	1
ITGA11	down	0.8	0.00307787002054834	0.00307787002054834	5	1
UNC5D	down	0.8	0.00307787002054834	0.00307787002054834	4	1
BDNF	down	0.8	0.00322514275077853	0.00322514275077853	5	2
CPEB2	down	0.8	0.00324951427818091	0.00324951427818091	5	2
DPF3	down	0.8	0.00332317007420629	0.00332317007420629	5	2
EPHB1	down	0.8	0.00332317007420629	0.00332317007420629	5	2
GREB1L	down	0.8	0.00334790235388587	0.00334790235388587	5	2
UTRN	down	0.8	0.00357454736399885	0.00357454736399885	5	2
COL8A1	down	0.8	0.00375586699169896	0.00375586699169896	5	2
PRKAA1	down	0.8	0.00383492382995418	0.00383492382995418	5	2
AKAP2	down	0.8	0.00384710064254734	0.00384710064254734	4	1
AQP1	down	0.8	0.00384710064254734	0.00384710064254734	5	1
GPRC5A	down	0.8	0.00384710064254734	0.00384710064254734	5	1
LAMP5	down	0.8	0.00384710064254734	0.00384710064254734	5	1
SEMA3D	down	0.8	0.00386145577451708	0.00386145577451708	5	2
TNC	down	0.8	0.00396848142395994	0.00396848142395994	5	2
SNTB1	down	0.8	0.00413171163737222	0.00413171163737222	5	2
SAMD9L	down	0.8	0.0045538964514667	0.0045538964514667	5	2
APCDD1	down	0.8	0.0046162365287945	0.0046162365287945	5	1
KIAA1644	down	0.8	0.0046162365287945	0.0046162365287945	5	1
PSG4	down	0.8	0.0046162365287945	0.0046162365287945	5	1
SGMS2	down	0.8	0.00493605892081227	0.00493605892081227	5	2
