Name	Score	padj	coverage	n_topfrac
NKAIN3	0.60143770700879	0.60143770700879	1	1
HIST1H2BD	0.60143770700879	0.60143770700879	5	1
GPR176	0.602132319207043	0.602132319207043	5	1
S1PR2	0.602132319207043	0.602132319207043	5	1
FAM20C	0.602132319207043	0.602132319207043	5	1
HIST1H4H	0.602132319207043	0.602132319207043	5	1
AC137932.5	0.602826843649103	0.602826843649103	2	1
SIPA1L3	0.602826843649103	0.602826843649103	5	1
LMNA	0.602826843649103	0.602826843649103	5	1
TBCA	0.602826843649103	0.602826843649103	5	1
KNSTRN	0.602826843649103	0.602826843649103	5	1
NR2F2	0.603521280343288	0.603521280343288	5	1
ANKRD36B	0.603521280343288	0.603521280343288	5	1
ILVBL	0.603521280343288	0.603521280343288	5	1
RPS20	0.603521280343288	0.603521280343288	5	1
PTN	0.604215629297911	0.604215629297911	5	1
CDC42EP3	0.604909890521288	0.604909890521288	5	1
XPR1	0.604909890521288	0.604909890521288	5	1
NDUFB9	0.604909890521288	0.604909890521288	5	1
MIR3167	0.604909890521288	0.604909890521288	1	1
YAP1	0.605604064021731	0.605604064021731	5	1
ZRANB1	0.605604064021731	0.605604064021731	5	1
SNRPG	0.605604064021731	0.605604064021731	5	1
AIG1	0.605604064021731	0.605604064021731	5	1
ZNF431	0.606298149807554	0.606298149807554	5	1
RP11-631M6.2	0.606298149807554	0.606298149807554	3	1
SNORA70E	0.606298149807554	0.606298149807554	2	1
NDC1	0.606298149807554	0.606298149807554	5	1
FARP2	0.606992147887072	0.606992147887072	5	1
NEIL1	0.607686058268594	0.607686058268594	5	1
ADSL	0.607686058268594	0.607686058268594	5	1
SIGLEC10	0.607686058268594	0.607686058268594	2	1
SLC9B2	0.608379880960435	0.608379880960435	5	1
LINC01002	0.608379880960435	0.608379880960435	2	1
SERTAD4	0.608379880960435	0.608379880960435	5	1
ERCC6L	0.608379880960435	0.608379880960435	5	1
P2RY6	0.609073615970903	0.609073615970903	5	1
MTRR	0.609073615970903	0.609073615970903	5	1
DNAJC7	0.609073615970903	0.609073615970903	5	1
ALDH6A1	0.609767263308312	0.609767263308312	4	1
SMC3	0.609767263308312	0.609767263308312	5	1
TAF1A	0.609767263308312	0.609767263308312	5	1
IRF1	0.609767263308312	0.609767263308312	5	1
RNA5SP317	0.61046082298097	0.61046082298097	1	1
NARG2	0.61046082298097	0.61046082298097	4	1
DNM3OS	0.61046082298097	0.61046082298097	4	1
LPAR4	0.611154294997188	0.611154294997188	5	1
NAPRT	0.611154294997188	0.611154294997188	1	1
LYPD1	0.611154294997188	0.611154294997188	5	1
RPS3AP26	0.611847679365273	0.611847679365273	4	1
CATSPERB	0.612540976093537	0.612540976093537	4	1
AASDH	0.612540976093537	0.612540976093537	5	1
PNMA6A	0.612540976093537	0.612540976093537	1	1
GTF2H2C	0.612540976093537	0.612540976093537	4	1
XPO4	0.613234185190286	0.613234185190286	5	1
RPL18AP3	0.613234185190286	0.613234185190286	4	1
C6ORF50	0.613927306663828	0.613927306663828	2	1
CBFB	0.613927306663828	0.613927306663828	5	1
ATP9A	0.61462034052247	0.61462034052247	5	1
RHOBTB1	0.61462034052247	0.61462034052247	5	1
RPL39P3	0.61462034052247	0.61462034052247	3	1
TRHDE	0.615313286774519	0.615313286774519	4	1
DGKE	0.615313286774519	0.615313286774519	5	1
EIF3I	0.616006145428281	0.616006145428281	5	1
RPS27AP16	0.616006145428281	0.616006145428281	1	1
NNT-AS1	0.616698916492061	0.616698916492061	4	1
KPNB1	0.616698916492061	0.616698916492061	5	1
CCDC50	0.617391599974164	0.617391599974164	5	1
HIST3H2BB	0.617391599974164	0.617391599974164	4	1
MTURN	0.618084195882896	0.618084195882896	5	1
KCNK15	0.618084195882896	0.618084195882896	5	1
RPS12P22	0.618084195882896	0.618084195882896	1	1
IFNE	0.618776704226558	0.618776704226558	4	1
MCTP1	0.618776704226558	0.618776704226558	5	1
EIF4BP7	0.618776704226558	0.618776704226558	4	1
TPPP3	0.619469125013457	0.619469125013457	5	1
RP4-569D19.5	0.619469125013457	0.619469125013457	2	1
LSMEM1	0.619469125013457	0.619469125013457	5	1
CENPK	0.619469125013457	0.619469125013457	5	1
ABI1	0.620161458251892	0.620161458251892	5	1
RP11-114H23.1	0.620161458251892	0.620161458251892	3	1
CPA6	0.620161458251892	0.620161458251892	3	1
IREB2	0.620853703950169	0.620853703950169	5	1
ZNF326	0.620853703950169	0.620853703950169	5	1
RPS7	0.620853703950169	0.620853703950169	5	1
RP11-485G4.2	0.621545862116587	0.621545862116587	2	1
MIR614	0.621545862116587	0.621545862116587	1	1
RP11-574K11.31	0.622237932759449	0.622237932759449	3	1
ALYREF	0.622237932759449	0.622237932759449	5	1
HAS2-AS1	0.622237932759449	0.622237932759449	4	1
JADE1	0.622929915887056	0.622929915887056	5	1
MPHOSPH6	0.622929915887056	0.622929915887056	5	1
AC009237.8	0.623621811507707	0.623621811507707	3	1
CEP120	0.623621811507707	0.623621811507707	5	1
KLHL13	0.623621811507707	0.623621811507707	5	1
RP11-4O1.2	0.624313619629702	0.624313619629702	3	1
RP11-384K6.6	0.624313619629702	0.624313619629702	4	1
CCT2	0.624313619629702	0.624313619629702	5	1
MCTS1	0.624313619629702	0.624313619629702	5	1
TCP11L1	0.625005340261341	0.625005340261341	5	1
YTHDF3	0.625005340261341	0.625005340261341	5	1
XRCC6	0.625005340261341	0.625005340261341	5	1
THSD7B	0.625005340261341	0.625005340261341	3	1
RPS10P7	0.625696973410922	0.625696973410922	5	1
CAPN3	0.625696973410922	0.625696973410922	4	1
SSBP1	0.625696973410922	0.625696973410922	5	1
DBF4B	0.625696973410922	0.625696973410922	5	1
RP11-116O18.3	0.626388519086744	0.626388519086744	2	1
FAM208A	0.626388519086744	0.626388519086744	5	1
GUF1	0.626388519086744	0.626388519086744	5	1
GRAMD1B	0.626388519086744	0.626388519086744	5	1
ARHGEF28	0.627079977297104	0.627079977297104	5	1
SNX29P1	0.627079977297104	0.627079977297104	3	1
ERAP2	0.627771348050299	0.627771348050299	5	1
RTEL1	0.627771348050299	0.627771348050299	5	1
EPRS	0.627771348050299	0.627771348050299	5	1
BHMT	0.628462631354625	0.628462631354625	4	1
LOC100130664	0.628462631354625	0.628462631354625	1	1
GOLGA4	0.62915382721838	0.62915382721838	5	1
RN7SL832P	0.62915382721838	0.62915382721838	4	1
RPS2P5	0.62915382721838	0.62915382721838	4	1
RMDN1	0.629844935649858	0.629844935649858	5	1
RP11-1006G14.4	0.629844935649858	0.629844935649858	2	1
RP11-383H13.1	0.630535956657354	0.630535956657354	3	1
PLPP4	0.630535956657354	0.630535956657354	1	1
DOPEY2	0.631226890249163	0.631226890249163	5	1
ZNF566	0.631226890249163	0.631226890249163	5	1
HK1	0.631226890249163	0.631226890249163	5	1
ASPH	0.631226890249163	0.631226890249163	5	1
MBNL2	0.63191773643358	0.63191773643358	5	1
CASD1	0.63191773643358	0.63191773643358	5	1
ZYG11A	0.63191773643358	0.63191773643358	4	1
AC093375.1	0.632608495218896	0.632608495218896	4	1
PDZD8	0.632608495218896	0.632608495218896	5	1
U2AF2	0.632608495218896	0.632608495218896	5	1
RP11-1102P16.1	0.633299166613405	0.633299166613405	2	1
ZNF461	0.633299166613405	0.633299166613405	5	1
