pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss
RS-67333	SKB	trt_cp	down	-0.308759828308019	0.000219746514486058	0.0429557982393461	-1.39502489066042	NA	NA	0.894572886997413	113	118	HTR4	Serotonin receptor partial agonist	183782
spectinomycin	PC3	trt_cp	up	0.317626737190794	0.000103269329413886	0.0331877293884233	1.39486365286153	NA	NA	0.47425364197292	113	118	NA	Bacterial 30S ribosomal subunit inhibitor	24747691
SCH-442416	SKB	trt_cp	up	0.323081616923909	7.19577902173874e-05	0.0324205118355907	1.39314957726753	NA	NA	0.829863943605727	113	118	ADORA1; ADORA2A; ADORA2B; ADORA3	Adenosine receptor antagonist	10668061
BRD-K82580504	A549	trt_cp	down	-0.315436295079201	0.000131708649587495	0.0351907133746681	-1.3929730485401	NA	NA	-0.013929730485401	113	118	NA	NA	44141938
alfadolone-acetate	SKB	trt_cp	up	0.323011706563511	7.19577902173874e-05	0.0324205118355907	1.39284811910979	NA	NA	0	113	118	NA	NA	24733
MW-SHH-61	A549	trt_cp	up	0.319369008888583	9.60452633866187e-05	0.0331877293884233	1.39258141998609	NA	NA	0	113	118	NA	NA	70680406
BRD-K54470384	MCF7	trt_cp	up	0.313836385001128	0.000142914655623768	0.036487699521366	1.39226521634791	NA	NA	0.0139226521634794	113	118	NA	NA	60138095
SB-269970	PC3	trt_cp	down	-0.313283399899274	0.000155447974996376	0.0372071205152784	-1.39144287096223	NA	NA	-0.807378599981567	113	118	HTR7	Serotonin receptor antagonist	11957684
KU-55933	NEU	trt_cp	up	0.325846772533799	5.94027116097573e-05	0.0324205118355907	1.39131950253202	NA	NA	0.842790218504716	113	118	ATM; PRKDC	ATM kinase inhibitor	5278396
BRD-K82206012	A549	trt_cp	down	-0.315007250493505	0.000131708649587495	0.0351907133746681	-1.39107837898615	NA	NA	0	113	118	NA	NA	10357822
BRD-K19181733	ASC	trt_cp	up	0.308630095071809	0.000219746514486058	0.0429557982393461	1.39081388953393	NA	NA	0	113	118	NA	NA	44498648
BRD-K37618507	SKB	trt_cp	up	0.322397771126508	7.74193582078816e-05	0.0329433706092723	1.39020078837438	NA	NA	0.309806939041764	113	118	NA	NA	44496991
BCI-hydrochloride	ASC	trt_cp	down	-0.299716156015559	0.000502137866600136	0.0600943953059267	-1.38997467632184	NA	NA	0	113	118	DUSP1; DUSP6	Protein phosphatase inhibitor	5475586
triflupromazine	PC3	trt_cp	down	-0.312933994712551	0.000155447974996376	0.0372071205152784	-1.38989099379191	NA	NA	0	113	118	CHRM1; CHRNA7; DRD1; HTR2B	Dopamine receptor antagonist	5568
