gene_name	drug_name	interaction_source_db_name	interaction_score
IRS1	EPIRUBICIN	PharmGKB	0.364636606
TLR4	ACETAMINOPHEN	PharmGKB	0.08780547
F10	LY-517717	TdgClinicalTrial	2.143170254518142
F10	CERTOPARIN SODIUM	TTD	1.071585127259071
EPS8	BOS172722	GuideToPharmacology	0.4167275494896388
EPS8	DCLK1-IN-1	GuideToPharmacology	0.6250913242344582
EPS8	XMD-12	GuideToPharmacology	0.8334550989792776
EPS8	PF-06454589	GuideToPharmacology	2.500365296937833
EPS8	TTT-3002	GuideToPharmacology	1.250182648468916
HIVEP1	COMPOUND 37 [PMID: 36384290]	GuideToPharmacology	10.50153424713889
EDNRB	BOSENTAN ANHYDROUS	TEND	3.750547945
F10	CX-6258	GuideToPharmacology	0.2678962818147678
F10	COMPOUND 28 [PMID: 30624936]	GuideToPharmacology	0.5357925636295356
TLR4	SAQUINAVIR	NCI	0.5073204950308647
PMP22	PROGESTERONE	NCI	0.8899605294185507
TLR4	GSK1795091	TTD	4.565884455277782
EDNRB	MACITENTAN	TTD	2.812910959055062
EPS8	GNE-0877	GuideToPharmacology	1.250182648468916
EPS8	NIK SMI1	GuideToPharmacology	0.6250913242344582
TLR4	G100	TTD	2.282942227638891
HIVEP1	BI-3406	GuideToPharmacology	3.500511415712966
EDNRB	SITAXENTAN	ChEMBL	1.250182648468916
EDNRB	MACITENTAN	ChEMBL	2.812910959055062
GCNT1	BROMO-DEAZA-SAH	GuideToPharmacology	5.250767123569449
GCNT1	COMPOUND 13 [CHEN ET AL., 2016]	GuideToPharmacology	10.50153424713889
GCNT1	SGC0946	GuideToPharmacology	5.250767123569449
TLR4	LPS	GuideToPharmacology	2.282942227638891
F10	BETRIXABAN	TdgClinicalTrial	1.607377690888607
F10	IDRABIOTAPARINUX SODIUM	ChEMBL	1.071585127259071
F10	RIVAROXABAN	TdgClinicalTrial	0.595325071
IRS1	GLIMEPIRIDE	NCI	1.640864726115453
F10	DANAPAROID	TTD	0.5357925636295356
EPS8	EB-42486	GuideToPharmacology	2.500365296937833
F10	TINZAPARIN SODIUM	TdgClinicalTrial	0.1530835896084387
F10	MANGIFERIN HEPTASULFATE	DTC	2.143170254518142
F10	EMICIZUMAB	ChEMBL	0.5357925636295356
F10	TANEXABAN	ChEMBL	1.071585127259071
F10	HEPARIN	TdgClinicalTrial	0.06697407
F10	OTAMIXABAN	TdgClinicalTrial	0.7143900848393808
TLR4	CRX-555	GuideToPharmacology	2.282942227638891
F10	MELAGATRAN	TTD	0.1530835896084387
F10	APIXABAN	TdgClinicalTrial	0.5357925636295356
TLR4	INFLIXIMAB-DYYB	NCI	0.1472865953315413
ADCY9	ALBUTEROL SULFATE	PharmGKB	1.615620653405984
EDNRB	AMBRISENTAN	TdgClinicalTrial	2.250328767244049
F10	TRIMETHOPRIM/SULFADOXINE	TTD	0.5357925636295356
F10	COAGULATION FACTOR VIIA (RECOMBINANT)-JNCW	TEND	1.071585127259071
F10	UZANSERTIB	GuideToPharmacology	0.2143170254518143
F10	EDOXABAN	ChEMBL	0.6429510763554428
EDNRB	RG-7636	ChEMBL	0.2344092465879218
F10	EDOXABAN	TdgClinicalTrial	0.6429510763554428
F10	VITAMIN K3	TEND	0.036951211
F10	NADROPARIN CALCIUM	TTD	0.5357925636295356
EDNRB	SOVATELTIDE	TTD	2.500365296937833
DUSP1	COMPOUND 1 [PMID: 31477924]	GuideToPharmacology	1.750255707856483
DUSP1	ANTISENSE OLIGONUCLEOTIDES	NCI	0.212152207
TLR4	DEFOSLIMOD	TTD	1.141471113819445
EDNRB	APROCITENTAN	ChEMBL	0.9376369863516875
F10	LY-517717	TTD	2.143170254518142
F10	COMPOUND 14K [PMID: 21982499]	GuideToPharmacology	0.2143170254518143
EDNRB	MACITENTAN	TdgClinicalTrial	2.812910959055062
EDNRB	TEZOSENTAN	ChEMBL	1.875273972703375
TLR4	NULL	PharmGKB	NULL
TLR4	FOLIC ACID	PharmGKB	0.1902451856365742
ADCY9	DALCETRAPIB	PharmGKB	10.50153424713889
TLR4	RESATORVID	TdgClinicalTrial	4.565884455277782
SERPINB2	UROKINASE	TdgClinicalTrial	6.563458904461812
EDNRB	NULL	TTD	NULL
EPS8	PF-06447475	GuideToPharmacology	2.500365296937833
TLR4	TLR AGONIST CADI-05	TTD	1.521961485092594
F10	RUBOXISTAURIN	GuideToPharmacology	0.1339481409073839
DUSP1	COMPOUND 6J [PMID: 27219676]	GuideToPharmacology	3.500511415712966
DUSP1	NILOTINIB	GuideToPharmacology	0.2187819634820604
TLR4	RESATORVID	GuideToPharmacology	4.565884455277782
TLR4	RITONAVIR	NCI	0.1691068316769549
IRS1	CYCLOPHOSPHAMIDE ANHYDROUS	PharmGKB	0.1600843635234588
F10	2-O, 3-O DESULFATED HEPARIN	TdgClinicalTrial	0.3571950424196904
EPS8	MLI-2	GuideToPharmacology	2.500365296937833
EDNRB	BOSENTAN ANHYDROUS	TTD	3.750547945
HIVEP1	MRTX0902	GuideToPharmacology	10.50153424713889
TLR4	RECOMBINANT 70-KD HEAT-SHOCK PROTEIN	NCI	0.4565884455277783
F10	ANTITHROMBIN ALFA	TdgClinicalTrial	0.2381300282797936
SRGN	HEPARIN	NCI	3.281729452230906
F10	RIVAROXABAN	ChEMBL	0.595325071
F10	IDRAPARINUX SODIUM	ChEMBL	1.071585127259071
IGFBP5	THERAPEUTIC ANDROSTANOLONE	NCI	2.763561643983921
F10	GW-813893	TTD	1.071585127259071
F10	EDOXABAN	TTD	0.6429510763554428
EPS8	NIK INHIBITOR 12F	GuideToPharmacology	0.3571950424196904
DUSP1	IMATINIB	GuideToPharmacology	0.046673486
DUSP1	DDR-IN-1	GuideToPharmacology	1.750255707856483
