gene	source
MAOB	DGIdb
EEF1D	DGIdb
IL23A	DGIdb
HSP90AB1	DGIdb
TOP1	DGIdb
C4BPAP2	DGIdb
CHRM5	DGIdb
FRA1L	DGIdb
CBX1	DGIdb
FANCC	DGIdb
GMNN	DGIdb
EYA4	DGIdb
SIRT1	DGIdb
KCNN2	DGIdb
GABRD	DGIdb
ALDH2	DGIdb
RAB9A	DGIdb
EFR3A	DGIdb
WBP2NL	DGIdb
MITF	DGIdb
MSTN	DGIdb
CACNB1	DGIdb
GNRHR	DGIdb
KDM4C	DGIdb
HSPB1	DGIdb
P2RY12	DGIdb
ABL1	DGIdb
BBS4	DGIdb
STAT3	DGIdb
CTAA1	DGIdb
A2MP1	DGIdb
GRIA3	DGIdb
AQP8	DGIdb
HTR3D	DGIdb
BRCA1	DGIdb
CHRM2	DGIdb
CCR2	DGIdb
DPYD	DGIdb
PRKD2	DGIdb
PIK3C2A	DGIdb
APOE	DGIdb
DPEP1	DGIdb
CACNA1C	DGIdb
RXRG	DGIdb
ACACA	DGIdb
HDAC8	DGIdb
F5	DGIdb
IDH2	DGIdb
INSR	DGIdb
SLC6A2	DGIdb
GABRG2	DGIdb
RELA	DGIdb
TUBB2B	DGIdb
CCL21	DGIdb
GFAP	DGIdb
PDE4A	DGIdb
SLC26A2	DGIdb
FGFR2	DGIdb
AURKC	DGIdb
RAPGEF3	DGIdb
GABRG3	DGIdb
OPRM1	DGIdb
CD40LG	DGIdb
TFAP2A	DGIdb
FAM178B	DGIdb
IL2RG	DGIdb
FSHR	DGIdb
OPRD1	DGIdb
ARSA	DGIdb
BIRC5	DGIdb
AOC1	DGIdb
ALB	DGIdb
ABCA4	DGIdb
RECQL	DGIdb
PIK3CG	DGIdb
CYP27A1	DGIdb
GDNF	DGIdb
POLH	DGIdb
ADCYAP1R1	DGIdb
TSPO	DGIdb
MUC16	DGIdb
ABCA1	DGIdb
CA9	DGIdb
SCN7A	DGIdb
CPT1B	DGIdb
ZNF816	DGIdb
TBXAS1	DGIdb
MAPK10	DGIdb
FMO2	DGIdb
TYK2	DGIdb
SENP8	DGIdb
RXRA	DGIdb
MGMT	DGIdb
