signature	direction	gene
RRA744_pan_dental	up	WNT2
RRA744_pan_dental	up	ADH1B
RRA744_pan_dental	up	OAS2
RRA744_pan_dental	up	RPS3
RRA744_pan_dental	up	CYP26B1
RRA744_pan_dental	up	RPL10
RRA744_pan_dental	up	RPL11
RRA744_pan_dental	up	DIO3
RRA744_pan_dental	up	KCNJ15
RRA744_pan_dental	up	A2M
RRA744_pan_dental	up	CLU
RRA744_pan_dental	up	CTH
RRA744_pan_dental	up	KCNG1
RRA744_pan_dental	up	ST6GAL1
RRA744_pan_dental	up	NT5DC2
RRA744_pan_dental	up	IFIT3
RRA744_pan_dental	up	SYNPO2
RRA744_pan_dental	up	TWIST2
RRA744_pan_dental	up	C1QTNF1
RRA744_pan_dental	up	RPS2P5
RRA744_pan_dental	up	SMOX
RRA744_pan_dental	up	ABCA6
RRA744_pan_dental	up	CBLN2
RRA744_pan_dental	up	HERC6
RRA744_pan_dental	up	INMT
RRA744_pan_dental	up	SYT12
RRA744_pan_dental	up	PTGES
RRA744_pan_dental	up	ARG2
RRA744_pan_dental	up	SLC39A4
RRA744_pan_dental	up	FBL
RRA744_pan_dental	up	COMP
RRA744_pan_dental	up	FTH1P8
RRA744_pan_dental	up	IFIT2
RRA744_pan_dental	up	WNT16
RRA744_pan_dental	up	ARRDC2
RRA744_pan_dental	up	GYPC
RRA744_pan_dental	up	BMP2
RRA744_pan_dental	up	PAMR1
RRA744_pan_dental	up	SHC4
RRA744_pan_dental	up	MX2
RRA744_pan_dental	up	NENF
RRA744_pan_dental	up	KCNK6
RRA744_pan_dental	up	CYTL1
RRA744_pan_dental	up	DLX5
RRA744_pan_dental	up	SLIT3
RRA744_pan_dental	up	NPR3
RRA744_pan_dental	up	ADPRHL1
RRA744_pan_dental	up	MSX2
RRA744_pan_dental	up	RSAD2
RRA744_pan_dental	up	CHST2
RRA744_pan_dental	up	FKBP5
RRA744_pan_dental	up	NKD1
RRA744_pan_dental	up	RAMP1
RRA744_pan_dental	up	VAT1L
RRA744_pan_dental	up	ATOX1
RRA744_pan_dental	up	RPL3P4
RRA744_pan_dental	up	TNFAIP8L3
RRA744_pan_dental	up	SLITRK1
RRA744_pan_dental	up	TYMP
RRA744_pan_dental	up	BEGAIN
RRA744_pan_dental	up	LIMCH1
RRA744_pan_dental	up	RPL10A
RRA744_pan_dental	up	CKLF
RRA744_pan_dental	up	IFI44
RRA744_pan_dental	up	NRROS
RRA744_pan_dental	up	OST4
RRA744_pan_dental	up	SORBS1
RRA744_pan_dental	up	VCAM1
RRA744_pan_dental	up	CMKLR1
RRA744_pan_dental	up	IRX3
RRA744_pan_dental	up	RASIP1
RRA744_pan_dental	up	RPL27
RRA744_pan_dental	up	SNCAIP
RRA744_pan_dental	up	PERP
RRA744_pan_dental	up	ENTPD1
RRA744_pan_dental	up	QPCTL
RRA744_pan_dental	up	RASD2
RRA744_pan_dental	up	IFI35
