atlas	signature	compartment	score_z
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Endothelial	0.709
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Epithelial	1.219
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Mesenchymal_osteo	0.342
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Myeloid	0.17
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Osteoclast	0.007
GSE303003_human_MRONJ	EX_SCAP_simvastatin_GSE286540	Tcell	-1.883
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Bcell_plasma	0.555
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Endothelial	0.685
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Epithelial	-1.887
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Mesenchymal_osteo	0.709
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Myeloid	0.728
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Osteoclast	0.003
GSE303003_human_MRONJ	EX_DPSC_cannabidiol_GSE271641	Tcell	-0.793
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Bcell_plasma	-0.061
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Endothelial	0.618
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Epithelial	-1.497
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Mesenchymal_osteo	-1.126
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Myeloid	1.346
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Osteoclast	0.488
GSE303003_human_MRONJ	EX_PDLSC_CALD1kd_GSE236009	Tcell	0.232
GSE303003_human_MRONJ	POSctrl_osteo_markers	Bcell_plasma	-0.735
GSE303003_human_MRONJ	POSctrl_osteo_markers	Endothelial	-0.278
GSE303003_human_MRONJ	POSctrl_osteo_markers	Epithelial	-0.474
GSE303003_human_MRONJ	POSctrl_osteo_markers	Mesenchymal_osteo	1.809
GSE303003_human_MRONJ	POSctrl_osteo_markers	Myeloid	-0.519
GSE303003_human_MRONJ	POSctrl_osteo_markers	Osteoclast	0.992
GSE303003_human_MRONJ	POSctrl_osteo_markers	Tcell	-0.795
GSE295106_mouse_BRONJ	RRA744_pan_dental	Bcell	-0.931
GSE295106_mouse_BRONJ	RRA744_pan_dental	Endothelial	-1.161
GSE295106_mouse_BRONJ	RRA744_pan_dental	Erythroid	0.766
GSE295106_mouse_BRONJ	RRA744_pan_dental	Macrophage	-0.314
GSE295106_mouse_BRONJ	RRA744_pan_dental	Neutrophil	0.651
GSE295106_mouse_BRONJ	RRA744_pan_dental	Osteo_MSC	0.251
GSE295106_mouse_BRONJ	RRA744_pan_dental	Osteoclast	1.661
GSE295106_mouse_BRONJ	RRA744_pan_dental	Tcell	-0.923
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Bcell	-1.3
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Endothelial	0.789
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Erythroid	-0.045
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Macrophage	-1.404
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Neutrophil	0.057
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Osteo_MSC	1.602
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Osteoclast	0.375
GSE295106_mouse_BRONJ	DE_PDLSC_GSE99958	Tcell	-0.075
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Bcell	0.778
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Endothelial	-1.538
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Erythroid	1.061
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Macrophage	-0.396
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Neutrophil	0.869
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Osteo_MSC	-0.737
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Osteoclast	0.832
GSE295106_mouse_BRONJ	DE_DPSC_GSE226347	Tcell	-0.87
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Bcell	-0.586
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Endothelial	-0.77
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Erythroid	0.976
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Macrophage	0.214
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Neutrophil	-1.501
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Osteo_MSC	1.223
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Osteoclast	1.002
GSE295106_mouse_BRONJ	DE_GSC_GSE226347	Tcell	-0.558
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Bcell	-0.079
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Endothelial	-1.037
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Erythroid	-0.021
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Macrophage	0.137
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Neutrophil	0.927
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Osteo_MSC	0.682
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Osteoclast	1.177
GSE295106_mouse_BRONJ	DE_SHED_GSE266257	Tcell	-1.786
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Bcell	0.245
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Endothelial	-0.601
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Erythroid	-0.266
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Macrophage	-1.479
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Neutrophil	0.068
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Osteo_MSC	2.059
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Osteoclast	0.182
GSE295106_mouse_BRONJ	DE_DFC_GSE49007	Tcell	-0.208
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Bcell	-0.155
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Endothelial	0.434
GSE295106_mouse_BRONJ	GO_osteoblast_differentiation	Erythroid	-1.268
