compartment	Cyst_mean	MRONJ_mean	wilcox_p
Bcell_plasma	0.392012641813502	0.373771140362478	0.686
Endothelial	0.106670498935623	0.0997166857838745	0.343
Epithelial	0.0504235109535288	0.0652632741139712	1
Mesenchymal_osteo	0.23025492554293	0.17754531885626	0.886
Myeloid	0.0631727517432921	0.146910196053899	0.0286
Osteoclast	0.000355503390478827	0.0161496957867854	0.0286
Tcell	0.157110167620646	0.120643689042733	1
