sample	condition	prog_net	core_net
Cyst_1	Cyst	-0.0323015010683769	0.124849299200638
Cyst_2	Cyst	-0.03443953369549	0.0976665646977987
Cyst_3	Cyst	-0.0254756700828511	0.0729387411662758
Cyst_4	Cyst	-0.008906238223457	0.181458638488891
MRONJ_1	MRONJ	0.00503387963156651	0.0841111287090826
MRONJ_3	MRONJ	0.00241485611888769	0.0536903236032634
MRONJ_4	MRONJ	-0.00802171675605784	0.0179909720897019
MRONJ_5	MRONJ	-0.00556616330953068	-0.0499201358525684
