compartment	prog_net
Myeloid	0.0362807280542549
Bcell_plasma	0.0236029739892537
Osteoclast	0.0107679528363468
Epithelial	-0.00130873362779658
Tcell	-0.00576413115367937
Mesenchymal_osteo	-0.0203324381721136
Endothelial	-0.0206963031521989
