gene	cell_type	is_dysregulated	abs_avg_log2FC	dataset
UBXN4	Endothelial	TRUE	0.371466149394086	GSE295106
GM15564	Endothelial	TRUE	1.56795024430204	GSE295106
PTK2B	Endothelial	TRUE	0.405776798307338	GSE295106
EEF1G	Endothelial	TRUE	0.317659450587234	GSE295106
RPA3	Endothelial	TRUE	1.22534609176214	GSE295106
IL17RA	Endothelial	TRUE	0.533288554898794	GSE295106
TMEM128	Endothelial	TRUE	0.693455486590881	GSE295106
H2-T23	Endothelial	TRUE	0.778500735131507	GSE295106
BASP1	Endothelial	TRUE	0.599720331379332	GSE295106
BHLHE40	Endothelial	TRUE	0.399560414534091	GSE295106
ARHGAP25	Endothelial	TRUE	0.881204337904715	GSE295106
GM26917	Endothelial	TRUE	0.639548828040987	GSE295106
GINM1	Endothelial	TRUE	0.699236421063376	GSE295106
PSMA2	Endothelial	TRUE	0.365434696158261	GSE295106
MAGOHB	Endothelial	TRUE	0.866207473056739	GSE295106
HMGA2	Endothelial	TRUE	0.948451635513611	GSE295106
GM26549	Endothelial	TRUE	0.87913346873397	GSE295106
LYST	Endothelial	TRUE	0.489871983687918	GSE295106
TRPC6	Endothelial	TRUE	1.42482753425347	GSE295106
MED13L	Endothelial	TRUE	0.354229311500983	GSE295106
ZBTB2	Endothelial	TRUE	0.817384222078932	GSE295106
2610001J05RIK	Endothelial	TRUE	0.649508799860783	GSE295106
FTL1	Endothelial	TRUE	0.259678246387415	GSE295106
IGHM	Endothelial	TRUE	1.01420837857182	GSE295106
H2-Q7	Endothelial	TRUE	0.568564775540446	GSE295106
MIR155HG	Endothelial	TRUE	0.80355904455157	GSE295106
CAMK1D	Endothelial	TRUE	0.446717464388401	GSE295106
SYNE3	Endothelial	TRUE	0.70458657473682	GSE295106
ELOB	Endothelial	TRUE	0.312387601944984	GSE295106
2610037D02RIK	Endothelial	TRUE	0.610600827833352	GSE295106
S100A6	Endothelial	TRUE	0.345313621974915	GSE295106
BCL10	Endothelial	TRUE	0.564169486530809	GSE295106
LAPTM5	Endothelial	TRUE	0.291335168406386	GSE295106
MAGOH	Endothelial	TRUE	0.509463139740411	GSE295106
HBB-BT	Endothelial	TRUE	2.14165524263752	GSE295106
PRDX1	Endothelial	TRUE	0.553043880004662	GSE295106
S100A11	Endothelial	TRUE	0.281341574441609	GSE295106
ACTG1	Endothelial	TRUE	0.258382647804915	GSE295106
SDE2	Endothelial	TRUE	0.434567286508982	GSE295106
CNOT1	Endothelial	TRUE	0.345950892017926	GSE295106
GM40645	Endothelial	TRUE	0.947468467154552	GSE295106
HPRT	Endothelial	TRUE	0.476129074883279	GSE295106
SF3B6	Endothelial	TRUE	0.336491322507055	GSE295106
ASAP1	Endothelial	TRUE	0.371061438756464	GSE295106
MAML3	Endothelial	TRUE	0.493896287141419	GSE295106
MED30	Endothelial	TRUE	0.945377765638061	GSE295106
ELL2	Endothelial	TRUE	0.359297644845511	GSE295106
JMJD1C	Endothelial	TRUE	0.335059659298581	GSE295106
PAN3	Endothelial	TRUE	0.279332068889721	GSE295106
GCH1	Endothelial	TRUE	0.457796065872851	GSE295106
HBA-A2	Endothelial	TRUE	1.80996809497886	GSE295106
SLCO3A1	Endothelial	TRUE	0.535991461241048	GSE295106
SLFN2	Endothelial	TRUE	0.681714421441765	GSE295106
GM2000	Endothelial	TRUE	0.384096368619941	GSE295106
TRIM28	Endothelial	TRUE	0.690240871433418	GSE295106
NCOA1	Endothelial	TRUE	0.662049787675332	GSE295106
GM10076	Endothelial	TRUE	0.38294493075063	GSE295106
FTH1	Endothelial	TRUE	0.254723464870061	GSE295106
UNC50	Endothelial	TRUE	0.70584268781404	GSE295106
HMGB2	Endothelial	TRUE	0.383804386302199	GSE295106
PPIA	Endothelial	TRUE	0.264968913191229	GSE295106
CHIC2	Endothelial	TRUE	0.369834491597248	GSE295106
TNIP3	Endothelial	TRUE	0.804899714878949	GSE295106
FNIP2	Endothelial	TRUE	0.513539230479481	GSE295106
CD9	Endothelial	TRUE	0.512335499388026	GSE295106
ACTR2	Endothelial	TRUE	0.274293638614363	GSE295106
SRSF9	Endothelial	TRUE	0.51456558070426	GSE295106
MRPL33	Endothelial	TRUE	0.441556679845793	GSE295106
CTLA2B	Endothelial	TRUE	0.792231094049176	GSE295106
LSM5	Endothelial	TRUE	0.492323008116352	GSE295106
