compartment	prog_net	prog_net_noisg
Myeloid	0.0362807280542549	0.0284106303699516
Bcell_plasma	0.0236029739892537	0.0176560307459321
Osteoclast	0.0107679528363468	0.00881300522496763
Epithelial	-0.00130873362779658	-0.00430117282902337
Tcell	-0.00576413115367937	-0.014203740356603
Mesenchymal_osteo	-0.0203324381721136	-0.015347608783569
Endothelial	-0.0206963031521989	-0.0277854724286504
