sample	condition	prog_AMS	prog_UC
Cyst_1	Cyst	-0.0293707125336909	-0.00610715560954
Cyst_2	Cyst	-0.0216786709263689	-0.00578218358599328
Cyst_3	Cyst	-0.043754044096245	-0.0115555200067586
Cyst_4	Cyst	0.00603049500594277	0.00397322501795473
MRONJ_1	MRONJ	0.020723015731453	0.00598883209545135
MRONJ_3	MRONJ	0.0184281014912072	0.00320661472803063
MRONJ_4	MRONJ	0.0161696827822673	0.00384312158111803
MRONJ_5	MRONJ	0.00759809928796636	0.00127537510168784
