BRONJ	Control	cell_type
0.0531582238899312	0.0954399050686557	Bcell
0.0540516394174931	0.0776402780132226	Endothelial
0.107656571071205	0.0586540091540939	Erythroid
0.0905923344947735	0.109849126970673	Macrophage
0.454391137317967	0.422359721986777	Neutrophil
0.0360046457607433	0.0314460077979319	Osteo_MSC
0.124006075225587	0.090354297338532	Osteoclast
0.0801393728222996	0.114256653670114	Tcell
